nom_standard,population,dep_nom,reg_nom,latitude_mairie,longitude_mairie
Saint-Étienne-du-Rouvray,29518,Seine-Maritime,Normandie,49.38,1.108
Ermont,29489,Val-d'Oise,Île-de-France,48.992,2.259
Clichy-sous-Bois,29354,Seine-Saint-Denis,Île-de-France,48.911,2.546
Vallauris,29259,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,43.58,7.056
Périgueux,29055,Dordogne,Nouvelle-Aquitaine,45.184,0.716
Sotteville-lès-Rouen,29003,Seine-Maritime,Normandie,49.414,1.089
Bois-Colombes,28909,Hauts-de-Seine,Île-de-France,48.914,2.268
Le Plessis-Robinson,28848,Hauts-de-Seine,Île-de-France,48.782,2.262
Charenton-le-Pont,28830,Val-de-Marne,Île-de-France,48.82,2.416
Maubeuge,28767,Nord,Hauts-de-France,50.28,3.967
Montfermeil,28703,Seine-Saint-Denis,Île-de-France,48.902,2.571
Vanves,28622,Hauts-de-Seine,Île-de-France,48.821,2.29
Saint-Sébastien-sur-Loire,28596,Loire-Atlantique,Pays de la Loire,47.206,-1.502
Orvault,28534,Loire-Atlantique,Pays de la Loire,47.271,-1.624
Dieppe,28496,Seine-Maritime,Normandie,49.923,1.078
Soissons,28046,Aisne,Hauts-de-France,49.384,3.329
Yerres,27906,Essonne,Île-de-France,48.717,2.488
Illkirch-Graffenstaden,27872,Bas-Rhin,Grand Est,48.528,7.711
Sucy-en-Brie,27764,Val-de-Marne,Île-de-France,48.771,2.524
Le Gosier,27757,Guadeloupe,Guadeloupe,16.206,-61.492
Rambouillet,27724,Yvelines,Île-de-France,48.645,1.82
Remire-Montjoly,27723,Guyane,Guyane,4.905,-52.276
Gonesse,27707,Val-d'Oise,Île-de-France,48.986,2.45
Blagnac,27604,Haute-Garonne,Occitanie,43.635,1.398
Taverny,27593,Val-d'Oise,Île-de-France,49.026,2.226
La Teste-de-Buch,27566,Gironde,Nouvelle-Aquitaine,44.631,-1.149
Bussy-Saint-Georges,27498,Seine-et-Marne,Île-de-France,48.844,2.698
Champs-sur-Marne,27451,Seine-et-Marne,Île-de-France,48.853,2.603
Limeil-Brévannes,27406,Val-de-Marne,Île-de-France,48.749,2.48
Cormeilles-en-Parisis,27292,Val-d'Oise,Île-de-France,48.976,2.199
Bergerac,27110,Dordogne,Nouvelle-Aquitaine,44.85,0.485
Sens,27106,Yonne,Bourgogne-Franche-Comté,48.199,3.283
Lambersart,27090,Nord,Hauts-de-France,50.647,3.021
Armentières,26998,Nord,Hauts-de-France,50.687,2.882
Gradignan,26952,Gironde,Nouvelle-Aquitaine,44.772,-0.608
Villeparisis,26946,Seine-et-Marne,Île-de-France,48.94,2.617
Sannois,26924,Val-d'Oise,Île-de-France,48.972,2.256
Étampes,26857,Essonne,Île-de-France,48.435,2.161
Grigny,26842,Essonne,Île-de-France,48.656,2.385
Cenon,26834,Gironde,Nouvelle-Aquitaine,44.858,-0.531
Brétigny-sur-Orge,26658,Essonne,Île-de-France,48.612,2.306
Lunel,26623,Hérault,Occitanie,43.679,4.132
